epoch:1,lr:4e-0500000000000000000000
epoch:2,lr:3.9998499839872514e-05000
epoch:3,lr:3.99939995963827e-0500000
epoch:4,lr:3.99864999801712e-0500000
epoch:5,lr:3.997600217551434e-050000
epoch:6,lr:3.9962507840137165e-05000
epoch:7,lr:3.994601910495167e-050000
epoch:8,lr:3.9926538573720286e-05000
epoch:9,lr:3.9904069322644714e-05000
epoch:10,lr:3.9878614899880166e-05000
epoch:11,lr:3.985017932497509e-050000
epoch:12,lr:3.981876708823638e-050000
epoch:13,lr:3.9784383150020375e-05000
epoch:14,lr:3.97470329399495e-0500000
epoch:15,lr:3.970672235605491e-050000
epoch:16,lr:3.9663457763845096e-05000
epoch:17,lr:3.96172459953007e-0500000
epoch:18,lr:3.956809434779569e-050000
epoch:19,lr:3.951601058294498e-050000
epoch:20,lr:3.946100292537882e-050000
epoch:21,lr:3.9403080061444e-05000000
epoch:22,lr:3.934225113783221e-050000
epoch:23,lr:3.9278525760135636e-05000
epoch:24,lr:3.9211913991330145e-05000
epoch:25,lr:3.914242635018622e-050000
epoch:26,lr:3.907007380960792e-050000
epoch:27,lr:3.899486779490014e-050000
epoch:28,lr:3.891682018196443e-050000
epoch:29,lr:3.8835943295423614e-05000
epoch:30,lr:3.875224990667564e-050000
epoch:31,lr:3.8665753231876784e-05000
epoch:32,lr:3.857646692985471e-050000
epoch:33,lr:3.848440509995155e-050000
epoch:34,lr:3.8389582279797446e-05000
epoch:35,lr:3.829201344301493e-050000
epoch:36,lr:3.8191713996854384e-05000
epoch:37,lr:3.8088699779761066e-05000
epoch:38,lr:3.7982987058874024e-05000
epoch:39,lr:3.787459252745736e-050000
epoch:40,lr:3.776353330226412e-050000
epoch:41,lr:3.7649826920833415e-05000
epoch:42,lr:3.7533491338721e-05000000
epoch:43,lr:3.7414544926663876e-05000
epoch:44,lr:3.72930064676794e-0500000
epoch:45,lr:3.7168895154099155e-05000
epoch:46,lr:3.7042230584538295e-05000
epoch:47,lr:3.691303276080071e-050000
epoch:48,lr:3.678132208472045e-050000
epoch:49,lr:3.664711935494013e-050000
epoch:50,lr:3.651044576362651e-050000
epoch:51,lr:3.6371322893124e-05000000
epoch:52,lr:3.622977271254666e-050000
epoch:53,lr:3.608581757430887e-050000
epoch:54,lr:3.593948021059576e-050000
epoch:55,lr:3.579078372977345e-050000
epoch:56,lr:3.563975161273999e-050000
epoch:57,lr:3.548640770921751e-050000
epoch:58,lr:3.533077623398597e-050000
epoch:59,lr:3.517288176305946e-050000
epoch:60,lr:3.50127492298053e-0500000
epoch:61,lr:3.485040392100682e-050000
epoch:62,lr:3.4685871472870224e-05000
epoch:63,lr:3.4519177866976416e-05000
epoch:64,lr:3.435034942617813e-050000
epoch:65,lr:3.41794128104433e-0500000
epoch:66,lr:3.400639501264509e-050000
