epoch:00001 loss:0.1174835005402565
epoch:00002 loss:0.0708853454887867
epoch:00003 loss:0.05803049199283123
epoch:00004 loss:0.05275577731430531
epoch:00005 loss:0.049026245549321175
epoch:00006 loss:0.04284539714455605
epoch:00007 loss:0.04101406525820494
epoch:00008 loss:0.041143445521593096
epoch:00009 loss:0.039670673459768296
epoch:00010 loss:0.03762372303754091
epoch:00011 loss:0.036944113522768024
epoch:00012 loss:0.036178154945373533
epoch:00013 loss:0.036067134961485864
epoch:00014 loss:0.03431361641734838
epoch:00015 loss:0.03382308632135391
epoch:00016 loss:0.034914141409099105
epoch:00017 loss:0.032676338069140914
epoch:00018 loss:0.033286068215966226
epoch:00019 loss:0.033238612934947016
epoch:00020 loss:0.03193579468876123
epoch:00021 loss:0.032521942406892775
epoch:00022 loss:0.03177421808242798
epoch:00023 loss:0.03137308046221733
epoch:00024 loss:0.032019952796399596
epoch:00025 loss:0.03177765522152185
epoch:00026 loss:0.03093075957149267
epoch:00027 loss:0.03184985857456923
epoch:00028 loss:0.031621919348835945
epoch:00029 loss:0.03217675030231476
epoch:00030 loss:0.030713751800358294
epoch:00031 loss:0.030781958885490894
epoch:00032 loss:0.031229698918759822
epoch:00033 loss:0.02941605471074581
epoch:00034 loss:0.029765831604599953
epoch:00035 loss:0.0292976039275527
epoch:00036 loss:0.03096754997968674
epoch:00037 loss:0.030112729147076606
epoch:00038 loss:0.02953915387392044
epoch:00039 loss:0.029263909570872784
epoch:00040 loss:0.031173792220652103
epoch:00041 loss:0.029999916478991508
epoch:00042 loss:0.031079687271267177
epoch:00043 loss:0.03024278748780489
epoch:00044 loss:0.029557784758508204
epoch:00045 loss:0.02921963669359684
epoch:00046 loss:0.030317846313118936
epoch:00047 loss:0.0290111605450511
epoch:00048 loss:0.029660673961043358
epoch:00049 loss:0.029623310081660748
epoch:00050 loss:0.02959476340562105
epoch:00051 loss:0.029359333608299495
epoch:00052 loss:0.029279654808342458
epoch:00053 loss:0.03007141958922148
epoch:00054 loss:0.028272049091756343
epoch:00055 loss:0.029178053513169287
epoch:00056 loss:0.028738895989954473
epoch:00057 loss:0.029561594761908054
epoch:00058 loss:0.028945899344980718
epoch:00059 loss:0.029314581714570524
epoch:00060 loss:0.028428437262773512
epoch:00061 loss:0.02838762253522873
epoch:00062 loss:0.028741300739347934
epoch:00063 loss:0.02893137726932764
epoch:00064 loss:0.028996363915503025
epoch:00065 loss:0.028666829951107503
epoch:00066 loss:0.028413412086665632
epoch:00067 loss:0.027722171507775784
epoch:00068 loss:0.02949124813079834
epoch:00069 loss:0.027960958890616894
epoch:00070 loss:0.028192874677479267
epoch:00071 loss:0.028712764233350754
epoch:00072 loss:0.02792233359068632
epoch:00073 loss:0.027903700061142445
epoch:00074 loss:0.028472135476768017
epoch:00075 loss:0.028700536601245403
epoch:00076 loss:0.028389520458877087
epoch:00077 loss:0.029113774336874485
epoch:00078 loss:0.027768051251769066
epoch:00079 loss:0.028173455409705637
epoch:00080 loss:0.027381483539938925
epoch:00081 loss:0.02854119673371315
epoch:00082 loss:0.027449069060385228
