epoch:1,lr:0.00020000000000000000000
epoch:2,lr:0.00019999988896697332000
epoch:3,lr:0.00019999955586816727000
epoch:4,lr:0.00019999900070440368000
epoch:5,lr:0.00019999822347705235000
epoch:6,lr:0.00019999722418803110000
epoch:7,lr:0.00019999600283980550000
epoch:8,lr:0.00019999455943538915000
epoch:9,lr:0.00019999289397834350000
epoch:10,lr:0.00019999100647277786000
epoch:11,lr:0.00019998889692334949000
epoch:12,lr:0.00019998656533526350000
epoch:13,lr:0.00019998401171427284000
epoch:14,lr:0.00019998123606667834000
epoch:15,lr:0.00019997823839932861000
epoch:16,lr:0.00019997501871962010000
epoch:17,lr:0.00019997157703549704000
epoch:18,lr:0.00019996791335545144000
epoch:19,lr:0.00019996402768852310000
epoch:20,lr:0.00019995992004429950000
epoch:21,lr:0.00019995559043291584000
epoch:22,lr:0.00019995103886505500000
epoch:23,lr:0.00019994626535194753000
epoch:24,lr:0.00019994126990537160000
epoch:25,lr:0.00019993605253765297000
epoch:26,lr:0.00019993061326166507000
epoch:27,lr:0.00019992495209082860000
epoch:28,lr:0.00019991906903911205000
epoch:29,lr:0.00019991296412103123000
epoch:30,lr:0.00019990663735164942000
epoch:31,lr:0.00019990008874657731000
epoch:32,lr:0.00019989331832197290000
epoch:33,lr:0.00019988632609454156000
epoch:34,lr:0.00019987911208153592000
epoch:35,lr:0.00019987167630075586000
epoch:36,lr:0.00019986401877054840000
epoch:37,lr:0.00019985613950980775000
epoch:38,lr:0.00019984803853797517000
epoch:39,lr:0.00019983971587503907000
epoch:40,lr:0.00019983117154153470000
epoch:41,lr:0.00019982240555854443000
epoch:42,lr:0.00019981341794769740000
epoch:43,lr:0.00019980420873116973000
epoch:44,lr:0.00019979477793168415000
epoch:45,lr:0.00019978512557251025000
epoch:46,lr:0.00019977525167746430000
epoch:47,lr:0.00019976515627090910000
epoch:48,lr:0.00019975483937775410000
epoch:49,lr:0.00019974430102345523000
epoch:50,lr:0.00019973354123401480000
epoch:51,lr:0.00019972256003598153000
epoch:52,lr:0.00019971135745645040000
epoch:53,lr:0.00019969993352306268000
epoch:54,lr:0.00019968828826400582000
epoch:55,lr:0.00019967642170801330000
epoch:56,lr:0.00019966433388436470000
epoch:57,lr:0.00019965202482288550000
epoch:58,lr:0.00019963949455394710000
epoch:59,lr:0.00019962674310846670000
epoch:60,lr:0.00019961377051790720000
epoch:61,lr:0.00019960057681427717000
epoch:62,lr:0.00019958716203013080000
epoch:63,lr:0.00019957352619856772000
epoch:64,lr:0.00019955966935323297000
epoch:65,lr:0.00019954559152831697000
epoch:66,lr:0.00019953129275855532000
epoch:67,lr:0.00019951677307922884000
epoch:68,lr:0.00019950203252616340000
epoch:69,lr:0.00019948707113572986000
epoch:70,lr:0.00019947188894484390000
epoch:71,lr:0.00019945648599096612000
epoch:72,lr:0.00019944086231210174000
epoch:73,lr:0.00019942501794680068000
epoch:74,lr:0.00019940895293415732000
epoch:75,lr:0.00019939266731381047000
epoch:76,lr:0.00019937616112594330000
epoch:77,lr:0.00019935943441128315000
epoch:78,lr:0.00019934248721110154000
epoch:79,lr:0.00019932531956721406000
epoch:80,lr:0.00019930793152198010000
epoch:81,lr:0.00019929032311830295000
