epoch:1,lr:0.00020000000000000000000
epoch:2,lr:0.00019999955586816727000
epoch:3,lr:0.00019999822347705235000
epoch:4,lr:0.00019999600283980550000
epoch:5,lr:0.00019999289397834350000
epoch:6,lr:0.00019998889692334949000
epoch:7,lr:0.00019998401171427284000
epoch:8,lr:0.00019997823839932861000
epoch:9,lr:0.00019997157703549704000
epoch:10,lr:0.00019996402768852312000
epoch:11,lr:0.00019995559043291586000
epoch:12,lr:0.00019994626535194758000
epoch:13,lr:0.00019993605253765305000
epoch:14,lr:0.00019992495209082863000
epoch:15,lr:0.00019991296412103128000
epoch:16,lr:0.00019990008874657737000
epoch:17,lr:0.00019988632609454165000
epoch:18,lr:0.00019987167630075591000
epoch:19,lr:0.00019985613950980780000
epoch:20,lr:0.00019983971587503912000
epoch:21,lr:0.00019982240555854448000
epoch:22,lr:0.00019980420873116979000
epoch:23,lr:0.00019978512557251030000
epoch:24,lr:0.00019976515627090916000
epoch:25,lr:0.00019974430102345526000
epoch:26,lr:0.00019972256003598153000
epoch:27,lr:0.00019969993352306268000
epoch:28,lr:0.00019967642170801332000
epoch:29,lr:0.00019965202482288553000
epoch:30,lr:0.00019962674310846672000
epoch:31,lr:0.00019960057681427720000
epoch:32,lr:0.00019957352619856775000
epoch:33,lr:0.00019954559152831703000
epoch:34,lr:0.00019951677307922890000
epoch:35,lr:0.00019948707113572988000
epoch:36,lr:0.00019945648599096618000
epoch:37,lr:0.00019942501794680074000
epoch:38,lr:0.00019939266731381052000
epoch:39,lr:0.00019935943441128320000
epoch:40,lr:0.00019932531956721411000
epoch:41,lr:0.00019929032311830300000
epoch:42,lr:0.00019925444540995065000
epoch:43,lr:0.00019921768679625557000
epoch:44,lr:0.00019918004764001045000
epoch:45,lr:0.00019914152831269856000
epoch:46,lr:0.00019910212919449014000
epoch:47,lr:0.00019906185067423854000
epoch:48,lr:0.00019902069314947650000
epoch:49,lr:0.00019897865702641222000
epoch:50,lr:0.00019893574271992520000
epoch:51,lr:0.00019889195065356236000
epoch:52,lr:0.00019884728125953370000
epoch:53,lr:0.00019880173497870807000
epoch:54,lr:0.00019875531226060895000
epoch:55,lr:0.00019870801356340975000
epoch:56,lr:0.00019865983935392958000
epoch:57,lr:0.00019861079010762840000
epoch:58,lr:0.00019856086630860250000
epoch:59,lr:0.00019851006844957960000
epoch:60,lr:0.00019845839703191404000
epoch:61,lr:0.00019840585256558193000
epoch:62,lr:0.00019835243556917583000
epoch:63,lr:0.00019829814656990000000
epoch:64,lr:0.00019824298610356494000
epoch:65,lr:0.00019818695471458215000
epoch:66,lr:0.00019813005295595885000
epoch:67,lr:0.00019807228138929240000
epoch:68,lr:0.00019801364058476487000
epoch:69,lr:0.00019795413112113730000
epoch:70,lr:0.00019789375358574410000
epoch:71,lr:0.00019783250857448718000
epoch:72,lr:0.00019777039669183002000
epoch:73,lr:0.00019770741855079188000
epoch:74,lr:0.00019764357477294150000
epoch:75,lr:0.00019757886598839130000
epoch:76,lr:0.00019751329283579090000
epoch:77,lr:0.00019744685596232066000
epoch:78,lr:0.00019737955602368577000
epoch:79,lr:0.00019731139368410952000
epoch:80,lr:0.00019724236961632662000
