epoch:00001 loss:5.300069460837305 d_loss:0.4642690738584018
epoch:00002 loss:5.245932529467687 d_loss:0.37406123397688584
epoch:00003 loss:5.2126535519528865 d_loss:0.3558921068960894
epoch:00004 loss:5.18731028214158 d_loss:0.3584196733849344
epoch:00005 loss:5.190395083311466 d_loss:0.3663413213639956
epoch:00006 loss:5.161217701057312 d_loss:0.3688988988589992
epoch:00007 loss:5.160208069338225 d_loss:0.36633958453197446
epoch:00008 loss:5.1526145737027615 d_loss:0.3650662364848788
epoch:00009 loss:4.959944824328852 d_loss:0.35781674724594537
epoch:00010 loss:4.942210878857888 d_loss:0.35949901185196215
epoch:00011 loss:4.946713270409217 d_loss:0.3532553393129213
epoch:00012 loss:4.922232859686702 d_loss:0.35530795762046674
epoch:00013 loss:4.9242476267362845 d_loss:0.3531034700906997
epoch:00014 loss:4.930071722058425 d_loss:0.35254579389135055
epoch:00015 loss:4.983576456844856 d_loss:0.3637288887624569
epoch:00016 loss:4.96339651940025 d_loss:0.36746173529111914
epoch:00017 loss:4.962946590329581 d_loss:0.3644367372998674
epoch:00018 loss:4.955467367858851 d_loss:0.36182497025704813
epoch:00019 loss:4.951277284234235 d_loss:0.3642055056377745
epoch:00020 loss:4.932013425914698 d_loss:0.35799836702007015
epoch:00021 loss:4.9428810320795975 d_loss:0.35523260351350383
epoch:00022 loss:4.958465577206744 d_loss:0.352260015951984
epoch:00023 loss:5.111591514743637 d_loss:0.34573202695129807
epoch:00024 loss:5.11391773118123 d_loss:0.3412182521625797
epoch:00025 loss:5.10026434212517 d_loss:0.34193726842128963
epoch:00026 loss:5.0830695114312405 d_loss:0.33716494083966536
epoch:00027 loss:5.105716077140049 d_loss:0.3379817461625617
epoch:00028 loss:5.097199933999152 d_loss:0.3365735387342762
epoch:00029 loss:5.0990821903382715 d_loss:0.3370391862859772
epoch:00030 loss:5.079981571696625 d_loss:0.33828588948741506
epoch:00031 loss:5.0777153367729 d_loss:0.3365188629044167
epoch:00032 loss:5.078053196600061 d_loss:0.3336043826254866
epoch:00033 loss:5.091204664294444 d_loss:0.3323276626344296
epoch:00034 loss:5.085560742793489 d_loss:0.33156433315811673
epoch:00035 loss:5.081423573306719 d_loss:0.328762355346428
epoch:00036 loss:6.037716582103439 d_loss:0.2524967386025004
epoch:00037 loss:6.014050442910524 d_loss:0.25971937733570066
epoch:00038 loss:6.001634412618151 d_loss:0.2583221629127129
epoch:00039 loss:5.999156199840276 d_loss:0.26350115513886946
epoch:00040 loss:5.990665508354271 d_loss:0.268977038398323
epoch:00041 loss:5.989235843435947 d_loss:0.2667535823939629
epoch:00042 loss:5.971270811582316 d_loss:0.2694408693945161
epoch:00043 loss:5.971405000356548 d_loss:0.26735946890016815
epoch:00044 loss:5.962138484624904 d_loss:0.26658691429680403
epoch:00045 loss:5.962944791111808 d_loss:0.26903982186821046
epoch:00046 loss:5.957122577224104 d_loss:0.2717474791439288
epoch:00047 loss:5.968142946431225 d_loss:0.27158932383851475
epoch:00048 loss:5.95807176348589 d_loss:0.2725303373962545
epoch:00049 loss:5.96208384754808 d_loss:0.27295952617887925
epoch:00050 loss:5.9543349468200475 d_loss:0.2715601017140093
epoch:00051 loss:5.951983897375874 d_loss:0.27390699324939705
epoch:00052 loss:5.948139024517899 d_loss:0.26977475885411456
epoch:00053 loss:5.932251944286557 d_loss:0.2702704831437522
epoch:00054 loss:5.945920367577353 d_loss:0.2746362812063552
epoch:00055 loss:4.586665157493346 d_loss:0.36501472881567604
epoch:00056 loss:4.596810087495808 d_loss:0.35367807670050827
epoch:00057 loss:4.577246480451528 d_loss:0.35539605413756503
epoch:00058 loss:4.606849563033115 d_loss:0.34789177372473246
epoch:00059 loss:4.633820824335656 d_loss:0.3540310620238481
